Abbreviations,Meaning
OIM,Orientation Imaging Microscopy
OIP,Order Intercept Point
OL,Objective Lens; Overlay
OLB,Outer Lead Bond
OLE,Object Linking And Embedding; Object Linking Environment
OLED,Organic Light Emitting Diode
OLS,Ordinary Least Squares
OM,Operational Modeling; Optical Microscopy
OMA,Object Management Architecture
OMS,Optical Mass Spectroscopy
OMT,Object Modeling Technique
ONO,Oxide/Nitride/Oxide
OO,Object-Oriented
OOA,Object-Oriented Analysis
OOD,Object-Oriented Design
OODB,Object-Oriented Database
OODBMS,Object-Oriented Database Management System
OOP,Object-Oriented Programming
OOPS,Object-Oriented Programming System
OPC,Optical Proximity Correction
OPD,Out-Of-Plane Distortion
OPL,Optical Pathlength
ORB,Object Request Broker
ORM,Other Regulated Material
ORNL,Oak Ridge National Laboratory
ORP,Oxidation-Reduction Potential
ORTC,Overall Technology Roadmap Characteristics
OS,Operating System
OSF,Open Systems Foundation; Oxidation-Induced Stacking Fault; Oxidation Stacking Faults
OSFs,Oxidation Induced Stacking Faults
OSG,Organosilicate Glass
OSI,Open System Interconnection
OSRM,Office Of Standard Reference Materials
OSS,Object Services Standard
OSV,Offset Scan Voting
OTA,Overall Ate Accuracy
OTD,On-Time Delivery
OTF,Optical Transfer Function
OUM,Ovionic Unified Memory
OVL,Overlay
Os,Osmium
Ox,Oxide
P,Phosphorous
P-1dB,Point At Which Device Gain Is 1Db Less Than The Linear Gain (Gain Is Compressed By 1 Db)
P-GILD,Projection Gas Immersion Laser Doping
P/E,Program/Erase
P/T,Precision-Tolerance
PA,Power Amplifier
PA-FTIR,Photoacoustic Fourier Transform Infrared Spectroscopy
PAB,Post-Apply Bake
PAC,Photoactive Compound
PACVD,Plasma-Assisted Chemical Vapor Deposition
PAE,Power Added Efficiency
PAG,Photoacid Generator; Program Advisory Group
PAL,Process Automation Language; Programmable Array Logic; Process Asset Library
PALS,Positron Annihilation Lifetime Spectroscopy
PAM,Photo-Acoustic Microscopy
PAM ,Process Application Module
PAN,Personal Area Network
PAS,Photoacoustic Spectroscopy; Project Assessment Survey
PAT,Process Action Team
PAWS,Portable Acoustic Wave Sensor
PBET,Performance-Based Equipment Training
PBGA,Plastic Ball Grid Array
PBL,Poly-Buffered Locos
PBN,Plasma Bridge Neutralizer
PBS,Photon Backscattering
PBTI,Positive Bias Temperature Instability
PC,Personal Computer; Programmable Controller; Process Control
PCA,Principal Component Analysis
PCAD,Packaging Computer-Aided Design
PCB,Printed Circuit Board
PCBs,Printed Circuit Boards
PCC,Power Connectivity Cost
PCD,Photochemical Darkening
PCHP,Pre-Coat Hotplate
PCM,Pulse-Code Modulation; Process Control Monitor
PCMP,Post Chemical-Mechanical Polishing
PCMS,Plasma Chemistry Monte-Carlo Simulation
PCO,Photocatalytic Oxidation
PCOMP,Pressure Compensation
PCR,Principle Component Regression
PCS,Production Cost Savings; Personal Communication Service
PCSA,Polarizer-Compensator Sample Analyzer
PCT,Process Change Teams
PCW,Process Cooling Water
PCWR,Process Cooling Water Returns
PCs,Personal Computers
PD,Partially Depleted
PD-SOI,Partially Depleted Soi
PDA,Personal Digital Assistant
PDC,Passive Data Collection
PDF,Portable Document Format; Process Design Failure
PDIP,Plastic Dual In-line Package
PDL,Plastics Design Library
PDP,Plasma Display Panels
PDS,Photothermal Displacement Spectroscopy; Personal Digital Service
PDSA,Peroxydisulfuric Acid
PDT,Product Development Test
PDU,Protocol Data Unit
PDVC,Phase-Dependent Voltage Contrast
PE,Power Efficient
PEALD,Plasma Enhanced Atomic Layer Deposition
PEB,Post-Exposure Bake
PEC,Proximity Effect Correction; Protective Electrostatic Chuck Cover
PECVD,Plasma-Enhanced Chemical Vapor Deposition
PED,Post-Exposure Delay
PEDS,Plasma-Enhanced Deposition System
PEEK,Polyetheretherkeytone
PEELS,Parallel Electron Energy Loss Spectrometry
PEEM,Photo-Electron Emission Microscope
PEF,Plasma-Enhanced Floodgun
PEL,Proximity Electron Lithography; Permissible Exposure Level (Limit)
PEM,Plastic Encapsulated Microcircuit
PEMs,Plastic Encapsulated Microcircuits
PEN,PolyEthylene Naphthalate
PERT,Program Evaluation Review Technique
PES,Photoelectron Spectroscopy
PET,Post-Etch Treatment
PETEOS,Plasma-Enhanced Tetraethylosilicate
PFA,Perfluoroalkoxy
PFC,Perfluorocompound; Perfluorocarbon
PFIB,Plasma Focused Ion Beam
PFO,Perfluorooctyl Sulfonates
PFOS,Perfluorooctyl Sulfonates
PFPE,Perfluorinated Polyether
PFR,Plug-Flow Reactor
PFS,Plasma Flood System
PGA,Pin Grid Array
PGI,Purge Gas Inlet
PGV,Person Guided Vehicle
PHEMT,Psuedomorphic High Electron Mobility Transistor
PHI,Physical Electronics Co.
PHM,Prognostics and Health
PHOST,Poly Hydroxystyrene
PI,Proportional Integral
PIC,Physical Interfaces And Carriers
PICA,Picosecond Imaging Circuit Analysis
PID,Proportional Integral Derivative; Process-Induced Defect;Proportional Integral Differential
PIDS,Process Integration
PIII,Plasma Immersion Ion Implantation
PIND,Particle Impact Noise Detection
PIP,Process-Induced Particles
PIV,Peak Inverse Voltage; Post Indicator Valve
PL,Photoluminescence
PLA,Programmable Logic Array
PLC,Programmable Logic Controller; Product Life Cycle
PLCC,Plastic Leaded Chip Carrier
PLDD,P-Type Lightly Doped Drain
PLED ,Phase-State Low-Electron-Number Drive Memory
PLIS,Precision Liquid Injection System
PLL,Plasma Lockload; Phase-Locked Loop
PLS,Partial Least Squares; Projection Of Latent Structures
PLY,Photolimited Yield
PLZT,Lead Lanthanum Zirconate Titanate
PM,Particle Monitor; Preventive Maintenance; Process Module
PMC,Process Module Controller
PMCC,Pensky-Martens Closed Cup
PMI,Phase Measuring Interferometer
PMM,Phase Measuring Microscope
PMMA,Polymethyl Methacrylate
PMOS,Positive Channel Metal-Oxide Semiconductor
PMOSFET,Positive Channel Metal-Oxide Semiconductor Field Effect Transistor
PMP,Particles Per Wafer Pass
PMS,Particle Measuring System
PMT,Photomultiplier Tube
PMTF,Product Management Task Force
PNL,Pulsed Nucleation Layer
PNNL,Pacific Northwest National Laboratories (Battelle)
PNWD,Pacific Northwest Division (Battelle
PO,Projection Optics
POB,Projection Optics Box
POC,Point Of Connection
POCP,Photochemical Ozone Creation Potential
POD,Point Of Distribution
POE,Point Of Entry
POP,Part Of Process
POR,Process Of Record
POS,Point Of Supply
POSIX,Portable Operating System Interface For Computing Environments
POU,Point-Of-Use
POUCG,Point-Of-Use Chemical Generation
PP,Polypropylene
PPB,See Ppb
PPE,Personal Protective Equipment
PPGA,Plastic Pin Grid Array
PPID,Process Program Identification
PPM,Point Projection Microscope
PPPL,Princeton Plasma Physics Laboratory
PPRef,Process Program Reference
PPS,Temperatures Polyphenylene Sulfide
PQFN,Power Quad Flat-pack No-lead
PQFP,Plastic Quad Flat Pack
PRA,Probabilistic Risk Assessment
PRAM,Phase-change Random Access Memory
PRAS,Particle Reactor Analysis Services
PRAT,Production Reliability Acceptance Test
PRB,Pseudo-Random Binary
PRBS,Pseudo Random Bit Sequence; Pseudo-Random Binary Sequences
PRD,Process Research And Development
PRESS,Prediction Error Sum Of Squares
PROACT,Preserving failure data Ordering the analysis
PROM,Programmable Read-Only Memory
PRPG,Pseudo Random Pattern Generators
PRSC,Parametric Response Surface Control
PRTR,Pollutant Release And Transfer Disclosure
PRV,Person Rail Guided Vehicle
PS,Porous Silicon
PSA,Photoemission Spectrum Analyzer
PSAM,Probabilistic Shape And Appearance Model
PSB,Phase Shifting Blank; Product Safety Bulletin
PSC,Porous Silicon Capacitor
PSD,Power Spectral Density; Port Status Display
PSDI,Phase-Shifting Diffraction Interferometer
PSG,Phosphosilicate Glass; Phosphorus Doped Silicon Glass
PSGA,Polymer Stud Grid Array
PSII,Plasma Source Ion Implantation
PSL,Polystyrene Latex
PSLS,Polystyrene Latex Sphere
PSM,Phase Shifting Mask; Phase Shift Mask
PSR,Perfectly Stirred Reactor
PSV,Pseudo Spin Valve
PTAB,Project Technical Advisory Board
PTC,Pre- And Post-Process Treatment Chambers
PTFE,Polytetrafluorethylene; Teflon
PTH,Plated Through Hole
PTPA,Probe-To-Pad Alignment
PV,Process Vacuum
PVA,Polyvinylacetate
PVC,Polyvinylchloride
PVD,Physical Vapor Deposition
PVDF,Polyvinylidene Fluoride
PVT,Physical Vapour Transport
PVs,Heading Photovoltaics
PWB,Printed Wiring Board
PWBA,Printed Wiring Board Assembly
PWBs,Organic Printed Wire Boards
PWP,Particles Per Wafer Pass
PXL,Proximity X-Ray Lithography
PZT,Pb(Zr
Pa,Protactinium; Pascals
Pb,Lead
PbO,Lead Oxide
Pd,Palladium
PfTQ,Partnering For Total Quality
Pm,Promethium
Po,Polonium
PoF,Physics Of Failure
Pout,Power Out
Pr,Praseodymium
Pt,Platinum
Pu,Plutonium
Q,Quality Factor
Q factor,Loss Factor For A Resonant Circuit
Q&RA,Quality and Reliability Assurance
QA,Quality Assurance
QALT,Quantitative Accelerated Life Test
QB,Quasi-Breakdown
QBD,Charge To Breakdown
QC,Quality Control
QCA,Quantum Cellular Automata
QCM,Quartz Crystal Microbalance
QCT,Quality Control Team QD VCSELs
QD,Quantum Dot
QDR,Quick Dump Rinse
QDs,Quantum Dots
QFD,Quality Function Deployment
QFN,Quad Flat No-lead
QFP,Quad Flat Pack
QFPN,Quad Flat Pack Nonleaded
QIC,Quartz Inlet Capillary
QLT,Quantitative Life Test
QLTs,Category Quantitative Life Tests
QM,Qualification Model; Qualification Motor; Quality Manager
QML,Qualified Manufacturer List
QMP,Quality Measurement Plan
QMS,Quadrupole Mass Spectrometer
QPL,Qualified Parts List
QRA,Quality Reliability Assurance
QRRM,Quick Reaction Reliability Monitor
QSR,Quality System Review
QTAT,Quick Turnaround Time
Qsw,Q-Switch
R,Resistance
R&D,Research And Development
R&M,Reliability and Maintainability
R/W,Read/Write
R2R,Run-To-Run
RA,Reliability Assurance
RAC,Remote Access And Control
RADAR,Radio Detection and Ranging
RAE,Residue After Evaporation
RAHU,Recirculation Air Handling Unit
RAIRS,Reflection-Absorption Infrared Spectroscopy
RAM,Random Access Memory; Reliability
RAMP,Reliability Analysis And Modeling Program
RAMS,Reliability  Availability Maintainability and Safety
RBA,Rotary Bonded Abrasive
RBB,Base Sheet Resistance
RBD,Reliability Block Diagram
RBMT,Region-Based Multi-Thresholding
RBS,Refractive Backscattering; Rutherford Backscattering Spectroscopy
RBSOA,Reverse Bias Safe Operation Area
RBV,Ramp Breakdown Voltage
RC,Resistance-Capacitance
RCA,Clean Process Invented By Rca
RCE,Rotating Compensator Ellipsometer
RCS,Revision Control System
RCT,Reference Cluster Tool
RCWA,Rigorous Coupled Wave Analysis
RDD,Reliability Defect Density
RDI,Raw Data Interface
RDL,Redistribution Layers
RDLY,Random Limited Yield; Random Defect Limited Yield
RDMT,Radio Dispatch Mobile Data Transportation Management
RDR,Rotating Disk Reactor
RDS,Remote Dispense System; Resist Dispense System
REDR,Recombination Enhanced Defect Reaction
REL,Recommended Exposure Limit
REPROM,Reprogrammable ROM
RESSFOX,Recessed Sealed Sidewall Field Oxidation
RET,Reticle Enhancement Technology
RF,Radio Frequency; Resonance Frequency
RFI ,Request For Information; Radio Frequency Interference
RFIC,Radio Frequency Integrated Circuit
RFM,Radio Frequency Monitoring
RFO,Restricted Flow Orifice
RFP,Request For Plan; Request For Proposal; Radio Frequency Probe
RFQ,Request For Quote
RFT,Resonant Frequency Tool
RGA,Residual Gas Analysis
RGV,Rail Guided Vehicle
RH,Relative Humidity
RHEED,Reflected High-Energy Electron Diffraction
RI,Reliability Improvement
RIAC,Reliability Information Analysis Centre
RIE,Reactive Ion Etch
RIM,Read-In Mode
RISC,Reduced Instruction Set Computer/Computing
RIST,Rule Induction And Statistical Testing
RLC,Resistance-Inductance-Capacitance
RLI,Resist Lithography
RMI,Remote Method Invocation
RMOS,Refractory Metal-Oxide Semiconductor
RMS,Root Mean Square; Recipe Management Standard; Reticle Management System
RMSEP,Root Mean Square Error Of Prediction
RMTF,Recipe Management Task Force
RNN,Recurrent Neural Network
RO,Reverse Osmosis
ROC,Remote Object Communications
ROE,Return On Equity
ROHS,Restriction of Hazardous Substances
ROI,Return On Investment
ROM,Read-Only Memory
ROMP,Ring Opening Metathesis Polymerization
ROX,Run Of Experiments
RPAO,Remote Plasma Assisted Oxidation
RPC,Remote Procedure Call
RPD,Relative Percent Deviation
RPECVD,Rapid Plasma-Enhanced Chemical Vapor Deposition
RPN,Remote Plasma Nitridation
RPNs,Risk Priority Numbers
RPS,Relative Phase Shift
RQ,Reportable Quantity
RR,Removal Rate
RRMSEP,Relative Root Mean Square Error Of Prediction
RS&TM,Reliability Screens And Test Methods
RSA,Range Standardization And Automation; Reference Satellite A; Remote Station Automation
RSE,Reactive Sputter Etch
RSF,Relative Sensitivity Factor
RSFQ,Rapid Single Flux Quantum
RSM,Response Surface Methodology; Response Surface Matrix
RT,Room Temperature
RT-level,Resistor-Transistor Logic; Register Transfer Level
RTA,Rapid Thermal Anneal
RTB,Real-Time Backplane
RTC,Resist Test Center
RTCVD,Rapid Thermal Chemical Vapor Deposition
RTD,Resistance Temperature Detector
RTD-FET,Resonant Tunneling Diode Fet
RTESA,Real Time Electrical Stress Analysis
RTL,Resistor-Transistor Logic; Register Transfer Level
RTM,Rapid Thermal Multiprocessing
RTO,Rapid Thermal Oxidation; Regenerative Thermal Oxidizer
RTOS,Real-Time Operating System
RTP,Rapid Thermal Processing (Or Processor)
RTR,Real-Time Reporting
RTS,Request To Send
RTSPC,Real-Time Statistical Process Control
RTV,Room Temperature Vulcanizing
RTY,Retry Limit
RVS,Ramped Voltage Stress
RWOH,Reliability Without Hermiticity
RZ,Return To Zero
Ra,Radium
Raman,Raman6 Spectroscopy Uses The Inelastic
Rb,Rubidium
Re,Rhenium
Rem−1,Raman Frequency
Rh,Rhodium
Rn,Radon
RoHS,Restriction Of Hazardous Substances
Rs,Sheet Resistance
RsXj,Sheet Resistance/Junction Depth
Rsd,Series Source/Drain Parasitic Resistance
Ru,Ruthenium
Rx,Receive Unit; Receiver
S,Sulfur
S-SNOM,Scanning Near-field Optical Microscopy
S/A,Sensor/Actuator
S/D,Source/Drain
S/N,Signal-To-Noise
S1,Sample
S21,Forward Transmission Gain With Output Terminated In A Matched Load (One Of The Four Scattering Parameters In A Two-Port Network)
SA,Surface Area; Subresolution Assist; Structured Analysis; Sensitivity Analysis
SAA,Static Automated Analysis
SAB,Sensor/Actuator Bus
SACVD,Sub-Atmospheric Chemical Vapor Deposition
SAE,Society Of Automotive Engineers
SAF,Stuck-At Fault
SAM,Scanning Auger Microscopy; Scanning Acoustical Microscopy; Self-Assembled Monolayer
SANS,Angle Neutron Scattering
SASOI,Small Area Soi
SAT,Spray Acid Tool
SAT TV,Satellite Television
SAW,Surface Acoustic Wave
SB,Strong Base Ion Exchange
SBD,Schottky Barrier Diode
SBE,Single Bit Errors
SBH,Schottky Barrier Height
SBT,Strontium Barium Titanate; Srbi2Ta2O8; Srbi2Ta2O9
SBl,Safety Bulletin
SC,Silicon carbide
SC-1,Standard Clean 1
SC-2,Standard Clean 2
SC1,Standard Clean 1
SC2,Standard Clean 2
SCA ,Surface Charge Analysis
SCALE,Sematech Cell Application Learning Environment
SCALPEL,Scattering With Aperture Limited Projection Lithography
SCAT,Scanning Acoustic Tomography
SCBA,Self-Contained Breathing Apparatus
SCC,Strategic Cell Controller
SCCS,Source Code Control System
SCDS,Super Catalytic Decomposition System
SCE,Saturated Calomel Electrode; Short Channel Effects
SCF,Super Critical Fluid
SCFH,Standard Cubic Feet Per Hour
SCI,Surface Charge Imaging
SCIC,Semiconductor Integrated Circuit
SCM,Scanning Capacitance Microscopy
SCOE,Sematech Center Of Excellence
SCP,Single Chip Package
SCPs,Package Single Chip Packages
SCR,Silicon Controlled Rectifier
SCS,Single Crystal Silicon
SD,Small Dual In-Line Package; Structured Design
SDE,Source/Drain Extension
SDFL,Schottky-Diode Fet Logic
SDLC,Synchronous Data Link Control
SDLY,Systemic Defect Limited Yield
SDM,Specific Device Model For Sab
SDRAM,Synchronous Dram
SDS,Smart Distributed System; Safe Delivery System
SDSI,Synchronous Data-Link Control
SE,Spectroscopic Ellipsometry; Secondary Electron
SEAJ,Semiconductor Equipment Association Of Japan
SEB,Single Event Burnout
SEC,Size Exclusion Chromatography
SECC,Single Edge Contact Cartridge
SECS,Semiconductor Equipment Communications Standard
SED,Strain Energy Density
SEE,Single Event Effect
SEG,Selective Epitaxial Growth
SEGD,Single Event Gate Damage
SEGR,Single Event Gate Rupture
SEI,Seebeck Effect Imaging
SEIM,Software Engineering Improvement Method
SEL,Single Event Latch-up
SEM,Scanning Electron Microscopy; Specific Equipment Model
SEMI,Semiconductor Equipment And Materials International
SEP,Software Engineering Process; Spin Etch Planarization
SEPG,Software Engineering Process Group
SEQDB,Semiconductor Equipment Database
SER,Soft Error Rate
SERs,Soft Error Rates
SET,Single Electron Transistor
SETEC,Semiconductor Equipment Technology Center
SEU,Single Event Upset
SEUs,Single Event Upsets
SFC,Supercritical Fluid Chromatography
SFCS,Shop Floor Control System
SFCS I/F,Shop Floor Control System Interface
SFDR,Spurious Free Dynamic Range
SFP,Stress-Free Polishing
SFQR,Site Flatness
SFSR,Site Flatness
SG,Stage Gate
SGML,Standard Generalized Markup Language
SGMM,Semiconductor Generic Manufacturing Model
SGMRS,Semiconductor Generic Manufacturing Requirements Specification
SHEs,Substrate Hot Electrons
SHPBs,Split Hopkinson Pressure Bars
SHRT,Solder Heat Resistance Test
SIA,Semiconductor Industry Association
SIDP,Sputter Ion Depth Profiling
SIL,Solid Immersion Lens
SILC,Stress-Induced Leakage Current
SILCs,Stress Induced Leakage Currents
SILOX,Silicon Oxide
SIM,Selective Ion Marketing; Selective Ion Monitoring
SIMO ,Single Input
SIMOX,Separation By Implantation Of Oxygen
SIMS,Secondary Ion Mass Spectroscopy
SINAD,Signal-To-Noise-And-Distortion
SIP,Sematech Internal Program; Self-Ionizing Plasma; System-In-Package
SIRIJ,Semiconductor Industry Research Institute Of Japan
SISO,Single Input
SISR,Single Input Signature Registers
SIV,Sensors In Vacuum
SL,Specification Limit
SLAM,Scanning Laser Acoustic Microscopy; Single Layer Alumina Metallization
SLC,Single Level Cell; Surface Laminar Circuit
SLDY,Systematic Limited Yield
SLM,Single-Level Metal
SLOC,Source Lines Of Code
SLSI,Super Large Scale Integration
SM,Stress Migration
SMB,Single-Mask Bumping
SMC,Surface-Mounted Components
SMD,Surface-Mounted Device
SME,Subject Matter Expert; Software Maintenance Engineer; Semiconductor Manufacturing Equipment
SMG,Screen Management Guide
SMIF,Standard Mechanical Interface
SMLY,Systematic Mechanisms Limited Yield
SMM,Scanning Microwave Microscopy
SMP,Symmetric Multiprocessing; Signal Message Processor; Software Management Plan; Symmetric Multi-Processor
SMPM,Secs Message Protocol Machine
SMR,Semiconductor Mask Representation
SMS,Secs Message Service
SMT,Surface Mount Technology
SMTS,Strategic Material Transport System
SMU,Source Measure Unit
SN,Storage Node
SNL,Sandia National Laboratory
SNMS,Sputtered Neutral Mass Spectroscopy
SNOM,Scanning Nearfield Optical Microscopy
SNPEM,Scanning Near-Field Photon Emission Microscopy
SNR ,Signal-To-Noise Ratio
SO,Small Outline (Package)
SOA,Safe Operating Area SoB
SOC,System On A Chip; Silicon-On-Chip
SOC-LP PDA,Soc-Low Power Pda
SOD,Spin-On Dielectric
SODAS,Sematech Organized Damage Analysis Software
SOG,Spin-On Glass
SOHO,Small Office Home Office
SOI,Silicon-On-Insulator
SOIC,Small Outline Integrated Circuit
SOJ,Small Outline J-Leaded
SOM,Scanning Optical Microscopy; Sulfuric Acid-Ozone Mixture
SON,Small Outline Nonleaded Package
SONET,Synchronous Optical Network
SONET/SDH,See Sonet
SONOS,Silicon/Oxide/Nitride/Oxide/Silicon
SOP,Standard Operating Procedure; System On Package
SOS,Silicon On Sapphire
SOW,Statement Of Work
SPAM,Scanning Photo-Acoustic Microscopy
SPC,Statistical Process Control
SPEM,Spectroscopic Photon Emission Microscopy
SPI,Software Process Improvement
SPICE,Simulation Program With Integrated Circuit Emphasis
SPIDER,Sematech Process Induced Damage Effect Revealer
SPIDER-MEM,Spider-Manufacturing Equipment Monitor
SPIE,International Society Of Optical Engineering
SPIN,Software Process Improvement Network
SPM,Scanning Probe Microscope; Scanning Probe Microscopy; Sulfuric Acid/Hydrogen Peroxide Mixture
SPP,Single-Phase Printing
SPR,Semiconductor Process Representation
SPS,Surface Preparation System
SPT,Shortest Processing Time
SPV,Surface Photovoltage
SQC,Statistical Quality Control
SQL,Structured Query Language
SQPMM,Software Quality And Process Maturity Model
SQUID,Superconducting Quantum Interference Device
SRAC,Supplier Relations Action Council
SRAM,Static Random Access Memory
SRC,Semiconductor Research Corporation
SRM,Standard Reference Materials
SRO,Srruo3
SRP,Spreading Resistance Probe
SRPT,Shortest Remaining Processing Time
SRQAC,Software Reliability and Quality Acceptance Criteria
SRS,Software Requirements Specification
SS,Small Signal
SSA,Semiconductor Safety Association; Spatial Signature Analysis
SSC,Subsystem Controller
SSDI,Shadow Spectral Digital Imaging
SSE,Sum Squared Error
SSEM,Stepper Specific Equipment Model
SSF,Shadow Spectral Filming
SSG,Selective Silicon Growth
SSHE,Scraped Surface Heat Exchanger
SSHEs,Source Side Hot Electrons
SSI,Small Scale Integration
SSIS,Scanning Surface Inspection Systems
SSL,Solid State Lighting
SSM,Strategic Sourcing Methodology
SSMS,Spark Source Mass Spectrometry
SSQA,Standardized Supplier Quality Assessment
SSR,Step-Stacked-Routing
SSRL,Sematech Software Reuse Library
SSRM,Scanning Spreading Resistance Microscopy
SSRP,Sematech Software Reuse Program
SST,Step-Stress Tests
SSTL,Stub Series Terminated Logic
SSY,Small-Scale Yielding
ST,Stress Test
STA,Static Timing Analysis
STAR,Simultaneous Transmitted And Reflected
STEL,Short-Term Exposure Limit
STEM,Scanning Transmission Electron Microscope/Microscopy
STI,Shallow Trench Isolation
STM,Scanning Tunneling Microscopy
STO,Strontium Titanate
STP,Standard Temperature And Pressure; System Test Plan
STRJ ,Semiconductor Technology Roadmap Of Japan
STRJ-WG,Semiconductor Technology Roadmap Of Japan Working Group
SThM,Scanning Thermal Microscopy
STs,Stress Tests
SU,Subresolution Attenuated
SUT,System Under Test
SVD,Singular Value Decomposition
SVID,System Variable Identifier
SW,Software
SWAT,Software Action Team
SWC,Solvent Waste Collection
SWCNT,Single-Walled Carbon Nanotube
SWEAT,Standard Wafer-Level Electromigration Accelerated Test
SWI,Static Walkthrough/Inspection
SWIM,Semiconductor Workbench For Integrated Modeling
SWP,Single Wafer Processing
SWR,Semiconductor Wafer Representation
SWV,Square Wave Voltammetry
SXAPS,Soft X-ray Appearance Potential Spectroscopy
SXR,Specular X-Ray Reflectance
SYRP,Synergetic Reliability Prediction
Sb,Antimony
Sc,Scandium
Se,Selenium
SemiSPIN,Semiconductor Software Process Improvement Network
SerDes,Serializer And Deserializer
Si,Silicon
SiC,Silicon Carbide
SiLK,Silicon Low-K
SiP,System-in-Package
Sm,Samarium
Sn,Tin
SoC,System On Chip
SoC-C,System-On-Chip Cost Driven
SoC-MT,System-On-Chip Multi-Technology Integration
SoC-P,System-On-Chip Performance Driven
SoP,System-on-Package
Sol-Gel,"The Transition Of A System From A Liquid ""Sol"" (Mostly Colloidal) Into A Solid ""Gel"" Phase"
Sr,Strontium
T,Temperature
T-M,Time-To-Market
T-RAM,Thyristor-based Random Access Memory
T/C,Thermocompression
T/R,Transmit Receive
T/S,Thermosonic
T2C,One Transistor-Two Capacitor
TAB,Technical Advisory Board; Tape Automated Bonding
TAP,Tool Application Program; Terminal Access Point
TAS,Trace Analysis System
TASC,Technical Analysis Services For Coo
TAT,Turnaround Time
TB,Tied Body
TBAH,Tetrabutylammonium Hydroxide
TBC,Time-Based Competitiveness
TBD,Time To Breakdown
TBFD,Trace Based Fault Diagnosis
TBJD,Trench Bipolar Junction Diode
TC,Time Constant; Temperature Coefficient; Thermocouple
TCA,Test Calibration Assembly; 1 Tcad
TCAD,Technology Computer Aided Design
TCC,Tactical Cell Controller
TCCT,Thin Capacitively-Coupled Thyristor
TCDM,Tool Development Cost Model
TCE,Temperature Coefficient Of Expansion
TCM,Tunneling Current Microscopy
TCP,Transformer-Coupled Plasma; Tape Carrier Package; Transport Control Protocol
TCP/IP,Transmission Control Protocol/Internet Protocol
TCR,Temperature Coefficient Of Resistance
TCT,Thermal Cycling Test
TCU,Temperature Control Unit
TD,Thermal Desorption
TDBI,Test During Burn-In
TDDB,Time-Dependent Dielectric Breakdown
TDEAT,Tetrakis (Diethylamino) Titanium
TDEV,Transport-Level Deviation
TDI,Time Delay Integration
TDLAS,Tunable Diode Laser Absorption Spectroscopy
TDMAT,Tetrakis (Dimethylamido) Titanium
TDMS,Thermal Desorption Mass Spectrometry
TDO,Test Data Output
TDR,Time Domain Reflectometry
TDS,Thermal Desorption Spectroscopy
TDTR,Time Domain Thermal Reflectance
TE,Transverse Electric; Transmitted Electron
TEA,Transverse Excited Atmosphere
TEC,Thermal Expansion Coefficient; Test And Electrical Characterization
TECAP,Transistor Electrical Characterization And Analysis Program
TED,Transient Enhanced Diffusion; Transmitted Electron Detection
TEG,Technical Exchange Group
TEGFET,Two-Dimensional Electron gas
TEM,Transmission Electron Microscopy; Transverse Electromagnetic
TEM-ED,Transmission Electron Microscopy – Electron
TEOS,Tetraethoxysilane; Tetraethylorthosilicate; Tetraethelorthosilicate; Tetrethoxysilicide
TEPO,Triethylphosphate
TES,Trench Etch Stop
TEV,Through Encapsulant Via
TFC,Total Fault Coverage
TFD,Total Focal Deviation
TFE,Tetrafluorethylene
TFH,Thin Film Hybrid
TFO,Thick Field Oxide
TFT,Thin Film Transistors
TFX,Toxic Effects
TG,Thermogravimetry
TGA,Thermal Gas Analysis; Thermal Gravimetric Analysis
TGM,Toxic Gas Monitoring
TGO,Thermally Grown Oxide
TH,Lead-Free Through-Hole Flow Soldering
THB,Temperature Humidity Bias
THC,Total Hydrocarbons
TI,Texas Instruments
TIBA,Triisobutlaluminum
TIC,Total Ion Count
TID,Total Ionising Dose
TIR,Total Indicator Runout; Total Internal Reflection
TIS,Tool Induced Shift
TIVA,Thermally Induced Voltage Acceleration; Thermally Induced Voltage Alteration
TIs,Texas Instruments
TJ,Total Jitter
TLC,Thin Layer Chromatography
TLE,Tool Loading Elevator
TLI,Thin Layer Imaging
TLM,Tape-Laying Machine; Telemeter; Transition Line Model
TLP,Transmission Line Pulse
TLPS,Transmission Line Pulse Spectroscopy
TLS,Thermal Laser Stimulation
TLU,Transient induced Latch-Up
TLV,Threshold Limit Value
TLV/TWA,Threshold Limit Value/Time-Weighted Average
TM,Transport Module
TMA,Thermal Mechanical Analyzer
TMAH,TetraMethylAmmonium Hydroxide
TMB,Trimethylborate
TMC,Transport Module Controller; Transfer Module Controller
TMIC,Transition Metal Ion Chromatography
TML,Total Mass Loss
TMOR,Thermally Modulated Optical Reflectance
TMP ,Trimethylphosphate; Turbomolecular Pump
TMR,Tunneling Magneto Resistance
TMS,Test Mode
TNI,Troubled-Non-Identified
TO,Transistor Outline Package
TOA,Take-Off Angle
TOC,Total Organic Carbon; Total Oxidizable Carbon
TOF,Time-Of-Flight
TOFSIMS,Time-Of-Flight Secondary Ion Mass Spectroscopy
TOR,Top Of Range
TOV,Temporary Overvoltage
TP,Teach Pendant
TP2,Tool Performance Tracking Platform
TPD,Temperature Program Desorption
TPG,Test Pattern Generation
TPM,Total Productive Maintenance; Total Productive Manufacturing
TPR,Technical Plan for Resolution
TPRS,Temperature Programmed Reaction Spectroscopy
TPU,Thermal Processing Unit
TQ,Total Quality
TQL,Total Quality Leadership
TQM,Total Quality Management
TRE,Time Resolved Photoemission
